,vendor_name,brick_description,price,minimum_buy,shop_link,num_bricks
0,CHEAP SHIPPING STORE,Blue Plate 1 x 1,0.01,6.73,https://www.bricklink.com//store.bricklink.com/Dawid_Szmandra?itemID=204338925,90
1,Wunschbox 15 bis 30 % off,Blue Plate 1 x 1,0.01,20.0,https://www.bricklink.com//store.bricklink.com/Wolle1234?itemID=349968882,90
2,Buy cheap in bulk!,Blue Plate 1 x 1,0.02,5.0,https://www.bricklink.com//store.bricklink.com/buycheap?itemID=332737120,90
3,TWO NINJA,Blue Plate 1 x 1,0.02,6.95,https://www.bricklink.com//store.bricklink.com/TwoNinja?itemID=118549199,90
4,The Brick Project,Blue Plate 1 x 1,0.02,0.95,https://www.bricklink.com//store.bricklink.com/ohiomichi?itemID=288876418,90
5,the overstock,Blue Plate 1 x 1,0.02,5.0,https://www.bricklink.com//store.bricklink.com/Strikeman?itemID=308985624,90
6,Steinemichl,Blue Plate 1 x 1,0.02,15.0,https://www.bricklink.com//store.bricklink.com/michael06642010?itemID=191282889,90
7,Benji Brick`s  %Sale%,Blue Plate 1 x 1,0.02,8.0,https://www.bricklink.com//store.bricklink.com/benji21?itemID=322678018,90
8,Evans Brickhouse,Blue Plate 1 x 1,0.02,5.67,https://www.bricklink.com//store.bricklink.com/jeva1183?itemID=338819475,90
9,"SLB - All 30% OFF, 50% S&H",Blue Plate 1 x 1,0.02,4.96,https://www.bricklink.com//store.bricklink.com/sunyloosebricks?itemID=374899337,90
10,2019,Blue Plate 1 x 1,0.02,40.0,https://www.bricklink.com//store.bricklink.com/wg?itemID=35395829,90
11,Andrea's Brickstore,Blue Plate 1 x 1,0.02,,https://www.bricklink.com//store.bricklink.com/Andrea.ge?itemID=317276899,90
12,Brick24 - MEGASTORE 🏬,Blue Plate 1 x 1,0.03,10.0,https://www.bricklink.com//store.bricklink.com/ChromeBricks?itemID=372999429,90
13,Mama's Laden,Blue Plate 1 x 1,0.03,10.0,https://www.bricklink.com//store.bricklink.com/Creatorwoman?itemID=153646994,90
14,Take my Brick away!,Blue Plate 1 x 1,0.03,,https://www.bricklink.com//store.bricklink.com/minyiu?itemID=358693340,90
15,bricks and piece$,Blue Plate 1 x 1,0.03,13.43,https://www.bricklink.com//store.bricklink.com/legoostrava?itemID=253810373,90
16,Halloween untill -35%OFF,Blue Plate 1 x 1,0.03,,https://www.bricklink.com//store.bricklink.com/Spielando?itemID=323864575,90
17,Brick-N-Brac,Blue Plate 1 x 1,0.03,4.73,https://www.bricklink.com//store.bricklink.com/jenwick?itemID=352166676,90
18,Brick8,Blue Plate 1 x 1,0.03,,https://www.bricklink.com//store.bricklink.com/brick8?itemID=231467379,90
19,Heidebricks,Blue Plate 1 x 1,0.03,,https://www.bricklink.com//store.bricklink.com/Heidebricks?itemID=255664056,90
20,BARGAIN PARTS,Blue Plate 1 x 1,0.03,9.45,https://www.bricklink.com//store.bricklink.com/Audi?itemID=355374046,90
21,DeVo Bricks,Blue Plate 1 x 1,0.03,2.84,https://www.bricklink.com//store.bricklink.com/mdevlaminck1?itemID=375814939,90
22,Banana Bricks,Blue Plate 1 x 1,0.03,2.84,https://www.bricklink.com//store.bricklink.com/BananaBricks?itemID=306278002,90
23,JBBrickFanatic,Blue Plate 1 x 1,0.03,1.89,https://www.bricklink.com//store.bricklink.com/JBBrickFanatic?itemID=255178774,90
24,NewtownBricks,Blue Plate 1 x 1,0.03,1.89,https://www.bricklink.com//store.bricklink.com/NewtownBricks?itemID=367538495,90
