,vendor_name,brick_description,price,minimum_buy,shop_link,num_bricks
0,Wunschbox 15 bis 30 % off,Blue Plate 1 x 1,0.01,20.0,https://www.bricklink.com//store.bricklink.com/Wolle1234?itemID=349968882,800
1,Brick24 - MEGASTORE 🏬,Blue Plate 1 x 1,0.03,10.0,https://www.bricklink.com//store.bricklink.com/ChromeBricks?itemID=372999429,800
2,German Brick Circus BULK ,Blue Plate 1 x 1,0.03,100.0,https://www.bricklink.com//store.bricklink.com/dewertz?itemID=66360515,800
3,Sta Laedla,Blue Plate 1 x 1,0.03,,https://www.bricklink.com//store.bricklink.com/dagealka?itemID=89616748,800
4,"A brick per day, up to-70%",Blue Plate 1 x 1,0.03,12.0,https://www.bricklink.com//store.bricklink.com/stefxan?itemID=216974570,800
5,yor_bricks,Blue Plate 1 x 1,0.03,,https://www.bricklink.com//store.bricklink.com/Yor_bricks?itemID=351385501,800
6,lafabrick,Blue Plate 1 x 1,0.04,15.0,https://www.bricklink.com//store.bricklink.com/adam1972?itemID=288152416,800
7,Sky Bricks shop !! -10% !!,Blue Plate 1 x 1,0.04,,https://www.bricklink.com//store.bricklink.com/Sky_Bricks_shop?itemID=367220770,800
8,Brick Takeover ,Blue Plate 1 x 1,0.04,7.0,https://www.bricklink.com//store.bricklink.com/tomte?itemID=39901762,800
9,TDH Bricks,Blue Plate 1 x 1,0.04,4.1,https://www.bricklink.com//store.bricklink.com/TDH_Bricks?itemID=112015042,800
10,Brickmania.hu,Blue Plate 1 x 1,0.04,9.19,https://www.bricklink.com//store.bricklink.com/kezany?itemID=175550131,800
11,AugustinBrothers,Blue Plate 1 x 1,0.04,25.0,https://www.bricklink.com//store.bricklink.com/AugustinBrother?itemID=120475232,800
12,Le Gold,Blue Plate 1 x 1,0.04,20.0,https://www.bricklink.com//store.bricklink.com/LeGold?itemID=291325479,800
13,BrickFinder,Blue Plate 1 x 1,0.04,15.0,https://www.bricklink.com//store.bricklink.com/BrickFinder73?itemID=374834901,800
14,Annis_Allerlei,Blue Plate 1 x 1,0.04,8.0,https://www.bricklink.com//store.bricklink.com/Annis_Allerlei?itemID=138147798,800
15,Limpensbricks,Blue Plate 1 x 1,0.05,,https://www.bricklink.com//store.bricklink.com/Limpensbricks?itemID=286810315,800
16,Stone by Stone,Blue Plate 1 x 1,0.05,10.0,https://www.bricklink.com//store.bricklink.com/Mall?itemID=71807458,800
17,Figsbricks ,Blue Plate 1 x 1,0.05,5.0,https://www.bricklink.com//store.bricklink.com/Figsbricks?itemID=105907024,800
18,BigManoo Torino  - Legames,Blue Plate 1 x 1,0.05,1.0,https://www.bricklink.com//store.bricklink.com/BigManoo?itemID=169476580,800
19,Steinchenland,Blue Plate 1 x 1,0.05,5.0,https://www.bricklink.com//store.bricklink.com/Steinchenland?itemID=294455366,800
20,LegareMilano,Blue Plate 1 x 1,0.05,1.0,https://www.bricklink.com//store.bricklink.com/prandrea?itemID=123778088,800
21,brickazon,Blue Plate 1 x 1,0.05,0.23,https://www.bricklink.com//store.bricklink.com/brickazon?itemID=197554246,800
22,Brickpauli,Blue Plate 1 x 1,0.05,50.0,https://www.bricklink.com//store.bricklink.com/Brickpauli?itemID=143717207,800
23,Generation Bricks,Blue Plate 1 x 1,0.05,5.0,https://www.bricklink.com//store.bricklink.com/generationbrick?itemID=175392448,800
24,wichtel10000 - SALE OUT !!,Blue Plate 1 x 1,0.05,1.0,https://www.bricklink.com//store.bricklink.com/wichtel10000?itemID=155034011,800
25,TIMBY'S CELLAR FREE📦📫*,Blue Plate 1 x 1,0.05,,https://www.bricklink.com//store.bricklink.com/timby?itemID=329894899,800
26,EIRGO,Blue Plate 1 x 1,0.06,,https://www.bricklink.com//store.bricklink.com/Eirgo?itemID=117918542,800
27,NORTHWINDS,Blue Plate 1 x 1,0.06,6.0,https://www.bricklink.com//store.bricklink.com/Northwinds?itemID=343640471,800
28,Alberobrick,Blue Plate 1 x 1,0.06,5.0,https://www.bricklink.com//store.bricklink.com/maurodb?itemID=164647842,800
29,HollandBricks.nl,Blue Plate 1 x 1,0.06,,https://www.bricklink.com//store.bricklink.com/legoappie?itemID=107775524,800
30,Saviory Bricks,Blue Plate 1 x 1,0.06,4.64,https://www.bricklink.com//store.bricklink.com/SavioryBricks?itemID=378289729,800
31,Jo's Brickworld,Blue Plate 1 x 1,0.06,,https://www.bricklink.com//store.bricklink.com/jo?itemID=372053652,800
32,Leg med klodser,Blue Plate 1 x 1,0.08,10.06,https://www.bricklink.com//store.bricklink.com/Macdoom?itemID=84397191,800
33,Kepes Bricks,Blue Plate 1 x 1,0.08,50.0,https://www.bricklink.com//store.bricklink.com/KepesBricks?itemID=63075748,800
34,3 BRICKS sale -15%,Blue Plate 1 x 1,0.09,10.0,https://www.bricklink.com//store.bricklink.com/3_BRICKS?itemID=360451190,800
35,Kinderspielzeug-Zeiser,Blue Plate 1 x 1,0.1,10.0,https://www.bricklink.com//store.bricklink.com/KSZBricks?itemID=255864511,800
36,Brikomania,Blue Plate 1 x 1,0.11,1.0,https://www.bricklink.com//store.bricklink.com/brikomania?itemID=368657936,800
37,BrickPlaza NL,Blue Plate 1 x 1,0.13,,https://www.bricklink.com//store.bricklink.com/rmvoskamp?itemID=375042335,800
38,KE.Bricks,Blue Plate 1 x 1,0.17,9.0,https://www.bricklink.com//store.bricklink.com/zickan?itemID=213074645,800
39,Give Me A Brick ϟ,Blue Plate 1 x 1,0.24,99.99,https://www.bricklink.com//store.bricklink.com/Give.Me.A.Brick?itemID=31190727,800
40,Steffensens Klodser,Blue Plate 1 x 2,0.01,,https://www.bricklink.com//store.bricklink.com/NicklasDK?itemID=222424094,206
41,Buy cheap in bulk!,Blue Plate 1 x 2,0.02,10.0,https://www.bricklink.com//store.bricklink.com/buycheap?itemID=332536525,206
42,hbu2.1,Blue Plate 1 x 2,0.02,2.5,https://www.bricklink.com//store.bricklink.com/hbu?itemID=181950096,206
43,Sebs Bitsnparts,Blue Plate 1 x 2,0.02,2.0,https://www.bricklink.com//store.bricklink.com/Bitsnpieces?itemID=136712681,206
44,Robin's BrickScout Sale,Blue Plate 1 x 2,0.02,5.0,https://www.bricklink.com//store.bricklink.com/Face1397?itemID=167357413,206
45,BAZAR FANATIC BRICK,Blue Plate 1 x 2,0.02,30.0,https://www.bricklink.com//store.bricklink.com/FCST1923?itemID=374469470,206
46,Kuboteka,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/Kuboteka?itemID=147924548,206
47,STEINE-ANKAUF.de,Blue Plate 1 x 2,0.02,10.0,https://www.bricklink.com//store.bricklink.com/OldBrixAndMore?itemID=369876259,206
48,Feelingbrick,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/Feelingbrick?itemID=324086882,206
49,Freddy´s-Bricks,Blue Plate 1 x 2,0.02,5.0,https://www.bricklink.com//store.bricklink.com/FreddysBricks?itemID=379881002,206
50,Rheinstein,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/Rheinstein?itemID=376340949,206
51,FAVRSKOV,Blue Plate 1 x 2,0.02,1.34,https://www.bricklink.com//store.bricklink.com/mramoeba?itemID=141132849,206
52,Pandoras Box,Blue Plate 1 x 2,0.02,5.0,https://www.bricklink.com//store.bricklink.com/Pandoras_Box?itemID=336060120,206
53,Tech-bricks,Blue Plate 1 x 2,0.02,26.54,https://www.bricklink.com//store.bricklink.com/hhrlebricks?itemID=219468441,206
54,NordischBricks,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/Jatoll?itemID=354634318,206
55,Brick Universum ,Blue Plate 1 x 2,0.02,20.0,https://www.bricklink.com//store.bricklink.com/BrickUniversum?itemID=353442456,206
56,Porto Brick Store,Blue Plate 1 x 2,0.02,2.0,https://www.bricklink.com//store.bricklink.com/pbstore?itemID=207794558,206
57,Portugal-Didáctico,Blue Plate 1 x 2,0.02,25.0,https://www.bricklink.com//store.bricklink.com/Edukit?itemID=369867978,206
58,Miks Bricks,Blue Plate 1 x 2,0.02,6.7,https://www.bricklink.com//store.bricklink.com/Ml1240?itemID=198987321,206
59,BrickerBricks,Blue Plate 1 x 2,0.02,10.0,https://www.bricklink.com//store.bricklink.com/BrickerBricks?itemID=337635466,206
60,BricksMummy,Blue Plate 1 x 2,0.02,8.2,https://www.bricklink.com//store.bricklink.com/BricksMummy?itemID=121655099,206
61,TGBRiver,Blue Plate 1 x 2,0.02,4.44,https://www.bricklink.com//store.bricklink.com/TGBRiver?itemID=344157590,206
62,PV-Brick,Blue Plate 1 x 2,0.02,2.05,https://www.bricklink.com//store.bricklink.com/petanus?itemID=294938112,206
63,Hrabarna,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/Marty6?itemID=156646299,206
64,Sky Bricks shop !! -10% !!,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/Sky_Bricks_shop?itemID=324418338,206
65,KiSebA - Up to 80% off,Blue Plate 1 x 2,0.02,10.0,https://www.bricklink.com//store.bricklink.com/KiSebA?itemID=369440653,206
66,lalijohi,Blue Plate 1 x 2,0.02,5.25,https://www.bricklink.com//store.bricklink.com/tothlajos1979?itemID=253954960,206
67,MiBrix,Blue Plate 1 x 2,0.02,4.64,https://www.bricklink.com//store.bricklink.com/Michal_H?itemID=274291773,206
68,Partsnbricks ,Blue Plate 1 x 2,0.02,5.0,https://www.bricklink.com//store.bricklink.com/partsnbricks?itemID=370783439,206
69,Mattes Shop,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/m.lewald?itemID=228607361,206
70,The Shed,Blue Plate 1 x 2,0.02,2.0,https://www.bricklink.com//store.bricklink.com/Ajiki?itemID=374052183,206
71,Candy Shop,Blue Plate 1 x 2,0.02,7.88,https://www.bricklink.com//store.bricklink.com/tanto691?itemID=143762138,206
72,Saviory Bricks,Blue Plate 1 x 2,0.02,4.64,https://www.bricklink.com//store.bricklink.com/SavioryBricks?itemID=338833578,206
73,Mountain_Bricks,Blue Plate 1 x 2,0.02,10.0,https://www.bricklink.com//store.bricklink.com/mountainbricks?itemID=89795933,206
74,volume discounts,Blue Plate 1 x 2,0.02,41.01,https://www.bricklink.com//store.bricklink.com/nice_stock?itemID=378714407,206
75,isabelCHAIN,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/isabelchain?itemID=85304358,206
76,Steinchendealer,Blue Plate 1 x 2,0.02,3.0,https://www.bricklink.com//store.bricklink.com/SteinchendeaIer?itemID=381558592,206
77,Wallacovy kostičky,Blue Plate 1 x 2,0.02,4.64,https://www.bricklink.com//store.bricklink.com/wallac?itemID=117890437,206
78,Block of Flats 10-50% OFF,Blue Plate 1 x 2,0.02,1.31,https://www.bricklink.com//store.bricklink.com/Block_Of_Flats?itemID=357669679,206
79,N_Bricks Denmark,Blue Plate 1 x 2,0.02,6.7,https://www.bricklink.com//store.bricklink.com/N_Bricks?itemID=84389502,206
80,IM Brickster,Blue Plate 1 x 2,0.02,5.0,https://www.bricklink.com//store.bricklink.com/IMB23?itemID=380820795,206
81,TASTER BRICKS 20-50% SALE,Blue Plate 1 x 2,0.02,100.0,https://www.bricklink.com//store.bricklink.com/TASTER?itemID=327041240,206
82,BrickFinder,Blue Plate 1 x 2,0.02,15.0,https://www.bricklink.com//store.bricklink.com/BrickFinder73?itemID=374834838,206
83,Norsi,Blue Plate 1 x 2,0.02,15.0,https://www.bricklink.com//store.bricklink.com/norsi?itemID=307373071,206
84,Monkey Brickness,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/MonkeyBrickness?itemID=377899148,206
85,BrickCoast,Blue Plate 1 x 2,0.02,5.0,https://www.bricklink.com//store.bricklink.com/BrickCoast?itemID=381117276,206
86,DK-bricks,Blue Plate 1 x 2,0.02,1.34,https://www.bricklink.com//store.bricklink.com/DenmarkBricks?itemID=213377034,206
87,Small brick,Blue Plate 1 x 2,0.02,5.0,https://www.bricklink.com//store.bricklink.com/tomcio06?itemID=111421657,206
88,BrickComplete,Blue Plate 1 x 2,0.02,,https://www.bricklink.com//store.bricklink.com/brickcomplete?itemID=243453350,206
89,Brick store J@T,Blue Plate 1 x 2,0.03,50.0,https://www.bricklink.com//store.bricklink.com/jozo42?itemID=178950723,206
90,BrickBox Space,Blue Plate 1 x 2,0.03,10.0,https://www.bricklink.com//store.bricklink.com/jediboy?itemID=373831191,206
91,Outer Bricks,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/outbreaker8?itemID=250464523,206
92,brickandplay,Blue Plate 1 x 2,0.03,10.0,https://www.bricklink.com//store.bricklink.com/bricksandfamily?itemID=381102095,206
93,Brick-Bunny,Blue Plate 1 x 2,0.03,5.0,https://www.bricklink.com//store.bricklink.com/Brick_Bunny?itemID=244219772,206
94,EA store,Blue Plate 1 x 2,0.03,10.5,https://www.bricklink.com//store.bricklink.com/EvaAnna?itemID=328822448,206
95,Wunschbox 15 bis 30 % off,Blue Plate 1 x 2,0.03,20.0,https://www.bricklink.com//store.bricklink.com/Wolle1234?itemID=307838122,206
96,Wunschbox 15 bis 30 % off,Blue Plate 1 x 2,0.03,20.0,https://www.bricklink.com//store.bricklink.com/Wolle1234?itemID=279977747,206
97,Train & Space Parts,Blue Plate 1 x 2,0.03,5.0,https://www.bricklink.com//store.bricklink.com/Capriheld?itemID=34373816,206
98,Freddy´s-Bricks,Blue Plate 1 x 2,0.03,5.0,https://www.bricklink.com//store.bricklink.com/FreddysBricks?itemID=160343708,206
99,Unlimited-Bricks,Blue Plate 1 x 2,0.03,1.0,https://www.bricklink.com//store.bricklink.com/bspkiste?itemID=118341947,206
100,Sea of Stones,Blue Plate 1 x 2,0.03,5.0,https://www.bricklink.com//store.bricklink.com/SeaofStones?itemID=221034736,206
101,Hungarian Brick Hunter,Blue Plate 1 x 2,0.03,7.88,https://www.bricklink.com//store.bricklink.com/20apiapi?itemID=306160497,206
102,Jordy's Savings,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Jordyvdb?itemID=227940070,206
103,Basic Bricks Bavaria,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Basic_Bricks?itemID=190910630,206
104,Yvis.Wuehlkiste,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Yvis.Wuehlkiste?itemID=365263028,206
105,T-Rex Bricks,Blue Plate 1 x 2,0.03,5.0,https://www.bricklink.com//store.bricklink.com/T_Rex_Bricks?itemID=297062283,206
106,Brickmetic,Blue Plate 1 x 2,0.03,15.0,https://www.bricklink.com//store.bricklink.com/Brickmetic?itemID=245401365,206
107,BasKrie,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/BasKrie?itemID=152921096,206
108,BAZAR FANATIC BRICK,Blue Plate 1 x 2,0.03,30.0,https://www.bricklink.com//store.bricklink.com/FCST1923?itemID=346515981,206
109,Noppenschuppen,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Noppenschuppen?itemID=377686627,206
110,Brick Build Store,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/AmauriDiMaia?itemID=332518736,206
111,Steineparadies,Blue Plate 1 x 2,0.03,10.0,https://www.bricklink.com//store.bricklink.com/Steineparadies?itemID=351071597,206
112,Anunnaki Bricks,Blue Plate 1 x 2,0.03,1.86,https://www.bricklink.com//store.bricklink.com/AnunnakiBricks?itemID=274658573,206
113,JuDam Store,Blue Plate 1 x 2,0.03,0.23,https://www.bricklink.com//store.bricklink.com/judam?itemID=222503607,206
114,heppner3000,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Hebbl?itemID=233960041,206
115,Old train&old parts,Blue Plate 1 x 2,0.03,7.88,https://www.bricklink.com//store.bricklink.com/leoone?itemID=312051617,206
116,Annis_Allerlei,Blue Plate 1 x 2,0.03,8.0,https://www.bricklink.com//store.bricklink.com/Annis_Allerlei?itemID=347173509,206
117,Kocka Corner,Blue Plate 1 x 2,0.03,5.25,https://www.bricklink.com//store.bricklink.com/kockacorner?itemID=230988964,206
118,ATJ-BrickStore,Blue Plate 1 x 2,0.03,6.7,https://www.bricklink.com//store.bricklink.com/atj162?itemID=115742658,206
119,Brick_parts,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/speedro?itemID=175440574,206
120,donossi-ersatzsteinchen,Blue Plate 1 x 2,0.03,1.0,https://www.bricklink.com//store.bricklink.com/donossi?itemID=38432146,206
121,X-Brixx - Up to 70%,Blue Plate 1 x 2,0.03,1.0,https://www.bricklink.com//store.bricklink.com/Felix_Hundt?itemID=352311087,206
122,Terra's Brick 2,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Tania86?itemID=293394107,206
123,Brick Supplier,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/BrickSupplier?itemID=306772465,206
124,Bricks in Riga,Blue Plate 1 x 2,0.03,0.5,https://www.bricklink.com//store.bricklink.com/nooormunds?itemID=121335254,206
125,Stoneshome,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Stoneshome?itemID=270409405,206
126,Spielstein Berlin,Blue Plate 1 x 2,0.03,5.0,https://www.bricklink.com//store.bricklink.com/Legolilie?itemID=53895493,206
127,MXNXFXG,Blue Plate 1 x 2,0.03,10.0,https://www.bricklink.com//store.bricklink.com/mxnxfxg?itemID=273979171,206
128,FamilyBricks AT,Blue Plate 1 x 2,0.03,0.5,https://www.bricklink.com//store.bricklink.com/Family.Bricks?itemID=225112715,206
129,BRICKNOT,Blue Plate 1 x 2,0.03,3.0,https://www.bricklink.com//store.bricklink.com/gpower20?itemID=309622967,206
130,joying,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/DerInge?itemID=290962813,206
131,Flamingo Bricks,Blue Plate 1 x 2,0.03,5.0,https://www.bricklink.com//store.bricklink.com/Flamingo_Bricks?itemID=379232060,206
132,Saaby - up to 75% off,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Saaby?itemID=74287961,206
133,FingerbrickⒸ2€shipping OLX,Blue Plate 1 x 2,0.03,4.61,https://www.bricklink.com//store.bricklink.com/Fingerbrick?itemID=145785871,206
134,Agata Klocki,Blue Plate 1 x 2,0.03,23.06,https://www.bricklink.com//store.bricklink.com/Sylwester?itemID=276760290,206
135,Budapest Brick NOPAYPALFEE,Blue Plate 1 x 2,0.03,4.64,https://www.bricklink.com//store.bricklink.com/BpBrick?itemID=169428836,206
136,The Brickening,Blue Plate 1 x 2,0.03,9.29,https://www.bricklink.com//store.bricklink.com/thebrickening?itemID=298859440,206
137,Brickcenter,Blue Plate 1 x 2,0.03,2.32,https://www.bricklink.com//store.bricklink.com/jarni?itemID=68686182,206
138,Nordic Brick,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/Nordicbrick?itemID=217686925,206
139,Kloesschens Brickstore,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/nene28?itemID=328190309,206
140,BrickCoast,Blue Plate 1 x 2,0.03,5.0,https://www.bricklink.com//store.bricklink.com/BrickCoast?itemID=372503101,206
141,BRICK BY BRICK EUROPE,Blue Plate 1 x 2,0.03,,https://www.bricklink.com//store.bricklink.com/BRICKBYBRICKEU?itemID=289652536,206
142,BrickStat,Blue Plate 1 x 2,0.03,3.0,https://www.bricklink.com//store.bricklink.com/adam3?itemID=254527972,206
